Customer ID,Customer Name,Office Name,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,OFFER RECC,Email Address,Sent,F/U Sent
429,FOUNTAIN PARK,Ecoteam Hou,,,,,,,,,,Offer FPCO,fountainpark@parawestmanagement.com,Sent,Follow-Up Sent
433,IMT WOODLAND MEADOWS,Ecoteam Hou,,,,,,,,,,Offer AIR Upgrade,woodlandmeadows@imtresidential.com,Sent,Follow-Up Sent
436,LAKESIDE POINT,Ecoteam Hou,,,,,,,,,,Offer AIR Upgrade,ratina.perkins@Dominiuminc.com,Sent,Follow-Up Sent
437,PARK WOODLAND SPRINGS,Ecoteam Hou,,,,,,,,,,Offer AIR Upgrade,Springs-Jade.Jefferson@mayfairmgt.com,Sent,Follow-Up Sent
439,PLANTATION QUAIL VALLEY,Ecoteam Hou,,,,,,,,,,Offer FPCO,plantation@parawestmanagement.com,Sent,Follow-Up Sent
445,GREENS AT BRENTFORD,Ecoteam Hou,,,,,,,,,,Offer FPCO,greensatbrentfordmgr@hettig-kahn.com,Sent,Follow-Up Sent
458,CAMINO FLATS,Ecoteam Austin,,,,,,,,,,Offer FPCO,mmarker@marquisgroup.net,Sent,Follow-Up Sent
459,LAKELINE PARMER,Ecoteam Austin,,,,,,,,,,Offer AIR Upgrade,lakelinepl@avita.pm;ckwork168@gmail.com,Sent,Follow-Up Sent
462,ABELIA FLATS,Ecoteam Austin,,,,,,,,,,Offer AIR Upgrade,ABELIAFLATS@WILLOWBRIDGEPC.COM,Sent,Follow-Up Sent
463,RESERVE AT SPRINGDALE,Ecoteam Austin,,,,,,,,,,Offer FPCO,assistant@reserveatspringdale.com,Sent,Follow-Up Sent
464,WESTERLY 360,Ecoteam Austin,,,,,,,,,,Offer FPCO,westerly360@cwsapartments.com,Sent,Follow-Up Sent
465,BALCONES CLUB,Ecoteam Austin,,,,,,,,,,Offer AIR Upgrade,jsnipes@resprop.com,Sent,Follow-Up Sent
479,SUMMIT AT HYDE PARK,Ecoteam Austin,,,,,,,,,,Offer AIR Upgrade,hydeparkcm@redstoneresidential.com,Sent,Follow-Up Sent
481,ALARA NORTH BURNET,Ecoteam Austin,,,,,,,,,,Offer AIR Upgrade,northburnet_mgr@tiptongroup.com,Sent,Follow-Up Sent
482,BEXLEY ANDERSON MILL,Ecoteam Austin,,,,,,,,,,Offer AIR Upgrade,bexleyandersonmill@weinsteinproperties.com,Sent,Follow-Up Sent
483,BEXLEY SILVERADO,Ecoteam Austin,,,,,,,,,,Offer AIR Upgrade,bexleysilverado@weinsteinproperties.com,Sent,Follow-Up Sent
486,BEXLEY ROUND ROCK,Ecoteam Austin,,,,,,,,,,Offer AIR Upgrade,bexleyroundrock@weinsteinproperties.com,Sent,Follow-Up Sent
487,RETREAT AT WOLF RANCH,Ecoteam Austin,,,,,,,,,,Offer AIR Upgrade,Alex.romero@bsrreit.com,Sent,Follow-Up Sent
490,LE MONTREAUX,Ecoteam Austin,,,,,,,,,,Offer AIR Upgrade,info@lmtapts.com,Sent,Follow-Up Sent
495,PARK PL LOYOLA,Ecoteam Austin,,,,,,,,,,Offer FPCO,parkplaceloyolacd@highmarkres.com,Sent,Follow-Up Sent
498,VILLAS DELA PLAZA,Ecoteam Austin,,,,,,,,,,Offer AIR Upgrade,brian.ellis@cardinalgroup.com,Sent,Follow-Up Sent
500,NORTH 40,Ecoteam Austin,,,,,,,,,,Offer AIR Upgrade,rgibson@cirrusami.com,Sent,Follow-Up Sent
502,FASHION AIRE,Ecoteam Austin,,,,,,,,,,Offer AIR Upgrade,fashionaireapts@cirrusami.com,Sent,Follow-Up Sent
505,GUTHRIE,Ecoteam Austin,,,,,,,,,,Offer FPCO,vherrera@kairoi.com,Sent,Follow-Up Sent
521,HUNTINGTON MEADOWS,Ecoteam DFW,,,,,,,,,,Offer AIR Upgrade,huntingtonmeadows@livebh.com,Sent,Follow-Up Sent
522,CASTILLIAN,Ecoteam DFW,,,,,,,,,,Offer FPCO,sandistoltz7@gmail.com,Sent,Follow-Up Sent
534,KINGS SQUARE,Ecoteam DFW,,,,,,,,,,Offer FPCO,kingsquareapts@gmail.com,Sent,Follow-Up Sent
540,FOUNDRY,Ecoteam DFW,,,,,,,,,,Offer AIR Upgrade,mvillafuerte@walkerholder.com,Sent,Follow-Up Sent
542,ASPEN COURT,Ecoteam DFW,,,,,,,,,,Offer AIR Upgrade,aspencourt@bridgepm.com,Sent,Follow-Up Sent
543,HOME COURT,Ecoteam DFW,,,,,,,,,,Offer FPCO,syncresidential@gmail.com,Sent,Follow-Up Sent
544,WILSON CROSSING,Ecoteam DFW,,,,,,,,,,Offer FPCO,wilsoncrossing@lumacorp.com,Sent,Follow-Up Sent
548,VINE AND VAIL FKA ENCLAVE AT GRAPEVINE,Ecoteam DFW,,,,,,,,,,Offer FPCO,vineandvail@lumapm.com,Sent,Follow-Up Sent
550,CEDAR POINT TOWNHOMES,Ecoteam DFW,,,,,,,,,,Offer FPCO,cedarpoint@ram-mgt.com,Sent,Follow-Up Sent
554,CHAPARRAL TOWNHOMES,Ecoteam DFW,,,,,,,,,,Offer AIR Upgrade,kcole@kittleproperties.com,Sent,Follow-Up Sent
555,DEPOT,Ecoteam DFW,,,,,,,,,,Offer AIR Upgrade,thedepot@rpmliving.com,Sent,Follow-Up Sent
556,EVERGREEN AT ROCKWALL,Ecoteam DFW,,,,,,,,,,Offer FPCO,jvento@evergreenrockwall.com,Sent,Follow-Up Sent
564,WINDRIDGE ON THE PARKWAY,Ecoteam DFW,,,,,,,,,,Offer AIR Upgrade,Greensatbrentfordmgr@hettig-kahn.com,Sent,Follow-Up Sent
565,HAVEN,Ecoteam DFW,,,,,,,,,,Offer AIR Upgrade,patricia.b@legendmgmt.com,Sent,Follow-Up Sent
567,TWO99,Ecoteam DFW,,,,,,,,,,Offer FPCO,mwithers@ireg.us,Sent,Follow-Up Sent
568,ONE90 FIREWHEEL,Ecoteam DFW,,,,,,,,,,Offer AIR Upgrade,info@one90firewheel.com,Sent,Follow-Up Sent
569,ENCLAVE AT WESTPORT,Ecoteam DFW,,,,,,,,,,Offer AIR Upgrade,info@enclaveatwestport.com,Sent,Follow-Up Sent
570,LVL29,Ecoteam DFW,,,,,,,,,,Offer FPCO,info@lvl29life.com,Sent,Follow-Up Sent
589,PROVIDENCE PLACE,Ecoteam Hou,,,,,,,,,,Offer FPCO,providenceplace@blazerrealestate.com,Sent,Follow-Up Sent
590,RIDLEY,Ecoteam Hou,,,,,,,,,,Offer AIR Upgrade,ridleymanager@emerge-living.com,Sent,Follow-Up Sent
594,BRAZOS SENIOR VILLAS,Ecoteam Hou,,,,,,,,,,Offer AIR Upgrade,brazosseniors@blazerrealestate.com,Sent,Follow-Up Sent
598,HOLLY OAK SENIOR,Ecoteam Hou,,,,,,,,,,Offer AIR Upgrade,hollyoak@blazerrealestate.com,Sent,Follow-Up Sent
615,BROADWAY,Ecoteam San Antonio,,,,,,,,,,Offer AIR Upgrade,leasing@alamoheightsapartments.com,Sent,Follow-Up Sent
616,BILTMORE PARK,Ecoteam San Antonio,,,,,,,,,,Offer AIR Upgrade,biltmore@haymanco.com,Sent,Follow-Up Sent
623,HILL COUNTRY PLACE,Ecoteam San Antonio,,,,,,,,,,Offer AIR Upgrade,office@livehillcountryplace.com,Sent,Follow-Up Sent
624,1221 BROADWAY LOFTS,Ecoteam San Antonio,,,,,,,,,,Offer FPCO,bfuqua@placemakr.com,Sent,Follow-Up Sent
626,OXBOW HILL CNTRY,Ecoteam San Antonio,,,,,,,,,,Offer AIR Upgrade,oxbowmanager@uaginc.com,Sent,Follow-Up Sent
628,OAK RIDGE,Ecoteam San Antonio,,,,,,,,,,Offer AIR Upgrade,Oakridgepm@Bellairemultifamily.com,Sent,Follow-Up Sent
632,COLONY,Ecoteam San Antonio,,,,,,,,,,Offer AIR Upgrade,ehinojosa@anterra.com,Sent,Follow-Up Sent
634,VISTA,Ecoteam San Antonio,,,,,,,,,,Offer AIR Upgrade,thevista@rpmliving.com,Sent,Follow-Up Sent
636,OVERLOOK EXCHANGE,Ecoteam San Antonio,,,,,,,,,,Offer AIR Upgrade,info@overlookexchange.com,Sent,Follow-Up Sent
638,ROOTS AT BOERNE,Ecoteam San Antonio,,,,,,,,,,Offer AIR Upgrade,rootsatboerne@greystar.com,Sent,Follow-Up Sent
642,FINLEY,Ecoteam San Antonio,,,,,,,,,,Offer AIR Upgrade,"thefinley@rpmliving.com,debra.barrera@rpmliving.com",Sent,Follow-Up Sent
647,ENCORE SO FLO,Ecoteam San Antonio,,,,,,,,,,Offer AIR Upgrade,soflo@valiantresidential.com,Sent,Follow-Up Sent
648,PEAKS AT LIVE OAK,Ecoteam San Antonio,,,,,,,,,,Offer AIR Upgrade,jflores@anterra.com,Sent,Follow-Up Sent
681,Artisan at South Lamar,Ecoteam Austin,,,,,,,,,,Offer AIR Upgrade,sdeloya@resprop.com,Sent,Follow-Up Sent
684,RESIDENCES AT THE TRIANGLE,Ecoteam Austin,,,,,,,,,,Offer AIR Upgrade,trianglemgr@greystar.com,Sent,Follow-Up Sent
686,CAPITAL HILLS,Ecoteam Austin,,,,,,,,,,Offer AIR Upgrade,capitalhills.am@cafmanagement.com,Sent,Follow-Up Sent
695,WALLER CREEKSIDE ON 51ST,Ecoteam Austin,,,,,,,,,,Offer FPCO,wallercreekside@lincolnapts.com,Sent,Follow-Up Sent
698,CATHERINE,Ecoteam Austin,,,,,,,,,,Offer FPCO,leasing@thecatherineaustin.com,Sent,Follow-Up Sent
699,SUR 512,Ecoteam Austin,,,,,,,,,,Offer AIR Upgrade,sur512mgr@greystar.com,Sent,Follow-Up Sent
701,HIDDEN TIMBER,Ecoteam Austin,,,,,,,,,,Offer AIR Upgrade,hiddentimberapartments@gmail.com,Sent,Follow-Up Sent
703,KEYSTONE,Ecoteam Austin,,,,,,,,,,Offer AIR Upgrade,keystone@pricecommunities.com,Sent,Follow-Up Sent
708,REGAL PARC,Ecoteam Austin,,,,,,,,,,Offer AIR Upgrade,regalparcmgr@greystar.com,Sent,Follow-Up Sent
709,BUTTERCUP CREEK,Ecoteam Austin,,,,,,,,,,Offer AIR Upgrade,buttercupcreekapts@sbcglobal.net,Sent,Follow-Up Sent
710,ASCENT AT QUAIL CREEK,Ecoteam Austin,,,,,,,,,,Offer FPCO,jessica.vigil@redstoneresidential.com,Sent,Follow-Up Sent
712,ALLEGRE POINT,Ecoteam Austin,,,,,,,,,,Offer AIR Upgrade,manager@allegrepoint.com,Sent,Follow-Up Sent
713,BEXLEY AT TECH RIDGE,Ecoteam Austin,,,,,,,,,,Offer AIR Upgrade,ap@weinsteinproperties.com,Sent,Follow-Up Sent
715,Markham At Lakeline,Ecoteam Austin,,,,,,,,,,Offer FPCO,matlakelinemgmt@bsrreit.com,Sent,Follow-Up Sent
718,PEASE PARKSIDE,Ecoteam Austin,,,,,,,,,,Offer FPCO,phenderson@property-society.com,Sent,Follow-Up Sent
720,STETSON FKA VINEYARD HILLS,Ecoteam Austin,,,,,,,,,,Offer FPCO,rcarr@s2res.com,Sent,Follow-Up Sent
740,ANTONIAN,Ecoteam San Antonio,,,,,,,,,,Offer AIR Upgrade,toberloher65@nfiapartments.com,Sent,Follow-Up Sent
741,SOLARA,Ecoteam San Antonio,,,,,,,,,,Offer AIR Upgrade,solara.pm@cafmanagement.com,Sent,Follow-Up Sent
742,CHEVY CHASE,Ecoteam San Antonio,,,,,,,,,,Offer AIR Upgrade,lmartinez68@nfiapartments.com,Sent,Follow-Up Sent
744,PRESIDIO FLATS,Ecoteam San Antonio,,,,,,,,,,Offer AIR Upgrade,manager@presidioflats.com,Sent,Follow-Up Sent
746,LANDMARK LOFTS,Ecoteam San Antonio,,,,,,,,,,Offer FPCO,manager@landmarklofts.com,Sent,Follow-Up Sent
752,ALTAMONTE,Ecoteam San Antonio,,,,,,,,,,Offer AIR Upgrade,Altamonte@myapartmenthome.com,Sent,Follow-Up Sent
754,BRANDON OAKS,Ecoteam San Antonio,,,,,,,,,,Offer FPCO,brandonoaks@sandalwoodmgt.com,Sent,Follow-Up Sent
756,QUARRY ALAMO HEIGHTS,Ecoteam San Antonio,,,,,,,,,,Offer AIR Upgrade,thequarrymgr@greystar.com,Sent,Follow-Up Sent
758,VILLAS DE TOSCANA,Ecoteam San Antonio,,,,,,,,,,Offer AIR Upgrade,toscana@allied-orion.com,Sent,Follow-Up Sent
761,SUNDANCE,Ecoteam San Antonio,,,,,,,,,,Offer AIR Upgrade,sundance@sandalwoodmgt.com,Sent,Follow-Up Sent
763,ALLURE,Ecoteam San Antonio,,,,,,,,,,Offer FPCO,alluremgr@djetexas.com,Sent,Follow-Up Sent
766,SUMMIT HENDERSON PASS,Ecoteam San Antonio,,,,,,,,,,Offer AIR Upgrade,hendersonpass@redstoneresidential.com,Sent,Follow-Up Sent
768,REMINGTON RANCH,Ecoteam San Antonio,,,,,,,,,,Offer AIR Upgrade,remingtonranch@anterra.com,Sent,Follow-Up Sent
771,SIERRA RANCH,Ecoteam San Antonio,,,,,,,,,,Offer FPCO,Jordan@sierra-ranch.com,Sent,Follow-Up Sent
773,ALAMO PARK,Ecoteam San Antonio,,,,,,,,,,Offer AIR Upgrade,mhanks@anterra.com,Sent,Follow-Up Sent
806,CHIMNEY ROCK,Ecoteam Hou,,,,,,,,,,Offer AIR Upgrade,chimneyrock@imtresidential.com,Sent,Follow-Up Sent
808,OCEAN FRONT 1,Ecoteam Hou,,,,,,,,,,Offer FPCO,oceanfront@novaassetmanagement.net,Sent,Follow-Up Sent
810,PAVILION PLACE,Ecoteam Hou,,,,,,,,,,Offer AIR Upgrade,pavilionplace@imtresidential.com,Sent,Follow-Up Sent
811,PLUM CREEK,Ecoteam Hou,,,,,,,,,,Offer FPCO,plumcreek@blazerrealestate.com,Sent,Follow-Up Sent
812,OLYMPUS AUBURN LAKES,Ecoteam Hou,,,,,,,,,,Offer AIR Upgrade,auburnlakes@olympusproperty.com,Sent,Follow-Up Sent
814,LAUREL POINT,Ecoteam Hou,,,,,,,,,,Offer AIR Upgrade,laurelpoint@wilhoitproperties.com,Sent,Follow-Up Sent
816,CAMPANILE ON JUSTICE,Ecoteam Hou,,,,,,,,,,Offer AIR Upgrade,justicepark@blazerrealestate.com,Sent,Follow-Up Sent
820,LANGHAM CREEK,Ecoteam Hou,,,,,,,,,,Offer FPCO,langhamcreek@boydlegacy.com,Sent,Follow-Up Sent
835,BRIARSTONE,Ecoteam Hou,,,,,,,,,,Offer FPCO,pm@briarstoneliving.com,Sent,Follow-Up Sent
837,WINDSOR GARDENS,Ecoteam Hou,,,,,,,,,,Offer AIR Upgrade,windsorgardens@blazerrealestate.com,Sent,Follow-Up Sent
839,GLENWOOD TRAILS,Ecoteam Hou,,,,,,,,,,Offer FPCO,glenwoodtrails@blazerrealestate.com,Sent,Follow-Up Sent
840,PROVIDENCE TOWN SQUARE,Ecoteam Hou,,,,,,,,,,Offer AIR Upgrade,townsquare@blazerrealestate.com,Sent,Follow-Up Sent
841,CAMPANILE SENIOR,Ecoteam Hou,,,,,,,,,,Offer AIR Upgrade,campanile@blazerrealestate.com,Sent,Follow-Up Sent
845,IMT UPTOWN POST OAKS,Ecoteam Hou,,,,,,,,,,Offer AIR Upgrade,imtuptownpostoak@imtresidential.com,Sent,Follow-Up Sent
846,KINGWOOD GLEN,Ecoteam Hou,,,,,,,,,,Offer AIR Upgrade,leasing@kingwoodglen.com,Sent,Follow-Up Sent
847,MEADOWS AT CYPRESS CREEK,Ecoteam Hou,,,,,,,,,,Offer AIR Upgrade,cypresscreek@blazerrealestate.com,Sent,Follow-Up Sent
848,BRITTMOORE,Ecoteam Hou,,,,,,,,,,Offer AIR Upgrade,brittmoore@blazerrealestate.com,Sent,Follow-Up Sent
850,CAMPANILE AT JONES,Ecoteam Hou,,,,,,,,,,Offer FPCO,jonescreek@blazerrealestate.com,Sent,Follow-Up Sent
851,MELROSE,Ecoteam Hou,,,,,,,,,,Offer AIR Upgrade,mparker@triarcrep.com,Sent,Follow-Up Sent
853,GLENWOOD TRAILS 2,Ecoteam Hou,,,,,,,,,,Offer AIR Upgrade,glenwood2@blazerrealestate.com,Sent,Follow-Up Sent
865,CONNALLY,Ecoteam San Antonio,,,,,,,,,,Offer AIR Upgrade,leasing@theconnally.com,Sent,Follow-Up Sent
871,NOVA VISTA WOODLAKE,Ecoteam San Antonio,,,,,,,,,,Offer AIR Upgrade,re2man@lynd.com,Sent,Follow-Up Sent
873,ENCLAVE BUCKHORN CROSSING,Ecoteam San Antonio,,,,,,,,,,Offer AIR Upgrade,leasing@ebcapts.com,Sent,Follow-Up Sent
879,TORINO VILLAS,Ecoteam San Antonio,,,,,,,,,,Offer AIR Upgrade,torinovillas@dgeinvestments.com,Sent,Follow-Up Sent
881,MARQUIS ON EVANS,Ecoteam San Antonio,,,,,,,,,,Offer AIR Upgrade,marquisonevans@cwsapartments.com,Sent,Follow-Up Sent
882,BEL,Ecoteam San Antonio,,,,,,,,,,Offer FPCO,leasing@alamoheightsapartments.com,Sent,Follow-Up Sent
884,TOWNSEND,Ecoteam San Antonio,,,,,,,,,,Offer FPCO,contact@rpitx.com,Sent,Follow-Up Sent
889,PRESERVE WESTOVER HILLS,Ecoteam San Antonio,,,,,,,,,,Offer AIR Upgrade,info@thepreservewestoverhills.com,Sent,Follow-Up Sent
890,DALIAN MONTERREY VILLAGE,Ecoteam San Antonio,,,,,,,,,,Offer AIR Upgrade,dalianmonterreymgr@greystar.com,Sent,Follow-Up Sent
892,SOUTHTOWN FLATS,Ecoteam San Antonio,,,,,,,,,,Offer AIR Upgrade,southtownflats@valiantresidential.com,Sent,Follow-Up Sent
893,RIVERA ON BROADWAY,Ecoteam San Antonio,,,,,,,,,,Offer AIR Upgrade,Manager.Rivera@barvin.com,Sent,Follow-Up Sent
894,FIFTY02 WESTOVER HILL,Ecoteam San Antonio,,,,,,,,,,Offer AIR Upgrade,fifty02@wmapts.com,Sent,Follow-Up Sent
897,TREEHOUSE,Ecoteam San Antonio,,,,,,,,,,Offer AIR Upgrade,"leasing@alamoheightsapartments.com,tsmith@rpitx.com",Sent,Follow-Up Sent
901,RUSTICO FAIR OAKS,Ecoteam San Antonio,,,,,,,,,,Offer AIR Upgrade,rustico@greystar.com,Sent,Follow-Up Sent
930,TIDES AT ROYAL LANE SOUTH,Ecoteam DFW,,,,,,,,,,Offer AIR Upgrade,tidesatroyallanesouth@rpmliving.com,Sent,Follow-Up Sent
935,CREEKWOOD PLACE,Ecoteam DFW,,,,,,,,,,Offer AIR Upgrade,manager@creekwoodplace.com,Sent,Follow-Up Sent
947,SONTERRA BUCKINGHAM,Ecoteam DFW,,,,,,,,,,Offer AIR Upgrade,sonterra@crestasset.com,Sent,Follow-Up Sent
952,COUNTRY PARK,Ecoteam DFW,,,,,,,,,,Offer AIR Upgrade,countrypark@sandalwoodmgt.com,Sent,Follow-Up Sent
953,COURTYARDS KIRNWOOD,Ecoteam DFW,,,,,,,,,,Offer AIR Upgrade,courtyardsatkirnwood@sandalwoodmgt.com,Sent,Follow-Up Sent
955,BEL AIR DOWNTOWN,Ecoteam DFW,,,,,,,,,,Offer AIR Upgrade,belairdowntown@americancommunities.com,Sent,Follow-Up Sent
960,BEL AIR ON MAPLE,Ecoteam DFW,,,,,,,,,,Offer FPCO,belaironmaple@americancommunities.com,Sent,Follow-Up Sent
962,HOMETOWNE AT GARLAND,Ecoteam DFW,,,,,,,,,,Offer AIR Upgrade,CRivera@ireg.us,Sent,Follow-Up Sent
963,WEST VIRGINIA PARK,Ecoteam DFW,,,,,,,,,,Offer FPCO,WESTVIRGINIAAPTS@AOGLIVING.COM,Sent,Follow-Up Sent
964,EVERGREEN AT LEWISVILLE,Ecoteam DFW,,,,,,,,,,Offer FPCO,service@evergreenlewisville.com,Sent,Follow-Up Sent
967,TIMES SQUARE ON THE HILL,Ecoteam DFW,,,,,,,,,,Offer AIR Upgrade,INFO@MAYFAIRMGT.COM,Sent,Follow-Up Sent
968,MONTICELLO CROSSROADS,Ecoteam DFW,,,,,,,,,,Offer FPCO,mcrmgr@karyamanagement.com,Sent,Follow-Up Sent
971,SILVERTON VILLAGE,Ecoteam DFW,,,,,,,,,,Offer FPCO,Janice.Cervantes@rpmliving.com,Sent,Follow-Up Sent
972,TOWNHOUSE,Ecoteam DFW,,,,,,,,,,Offer FPCO,communitydirector.th@chadnic.com,Sent,Follow-Up Sent
973,REDGATE,Ecoteam DFW,,,,,,,,,,Offer FPCO,redleasing@karyamanagement.com,Sent,Follow-Up Sent
983,TIDES AT ROYAL LANE NORTH,Ecoteam DFW,,,,,,,,,,Offer AIR Upgrade,vivian.arroyo@rpmliving.com,Sent,Follow-Up Sent
991,SUMMIT,Ecoteam Austin,,,,,,,,,,Offer FPCO,mjcruz@urbansw.com,Sent,Follow-Up Sent
994,CRICKET HOLLOW,Ecoteam Austin,,,,,,,,,,Offer AIR Upgrade,Cricket@ChurchillForge.com,Sent,Follow-Up Sent
995,JUNIPER SPRINGS,Ecoteam Austin,,,,,,,,,,Offer AIR Upgrade,ashley@jspapts.com,Sent,
998,BRIDGE AT MONARCH BLUFF,Ecoteam Austin,,,,,,,,,,Offer AIR Upgrade,leasing@bridgeatmonarchbluffs.com,Sent,Follow-Up Sent
1009,AVANTI HILLS AT THE GALLERIA,Ecoteam Austin,,,,,,,,,,Offer FPCO,leasing@avantihills.com,Sent,Follow-Up Sent
1011,LAKESHORE PEARL,Ecoteam Austin,,,,,,,,,,Offer FPCO,lakeshorepearl@greystar.com,Sent,Follow-Up Sent
1012,UT SPEEDWAY,Ecoteam Austin,,,,,,,,,,Offer FPCO,mmarker@marquisgroup.net,Sent,Follow-Up Sent
1016,AIDAN,Ecoteam Austin,,,,,,,,,,Offer AIR Upgrade,theaidanmgr@valiantresidential.com,Sent,Follow-Up Sent
1017,TRAILS OF WALNUT CREEK,Ecoteam Austin,,,,,,,,,,Offer AIR Upgrade,trails@cirrusami.com,Sent,Follow-Up Sent
1021,CITY VIEW PARK,Ecoteam Austin,,,,,,,,,,Offer AIR Upgrade,85081.manager1@capstonemanagement.com,Sent,Follow-Up Sent
1024,WEST KOENIG FLATS,Ecoteam Austin,,,,,,,,,,Offer AIR Upgrade,westkoenigflats@greystar.com,Sent,Follow-Up Sent
1025,BELTERRA SPRINGS,Ecoteam Austin,,,,,,,,,,Offer FPCO,belterrasprings@trivestcares.com,Sent,Follow-Up Sent
1027,HAYS PARK,Ecoteam Austin,,,,,,,,,,Offer AIR Upgrade,haysparkmgr@greystar.com,Sent,Follow-Up Sent
1028,FARMHOUSE,Ecoteam Austin,,,,,,,,,,Offer AIR Upgrade,leasing@farmhouseaustin.com,Sent,Follow-Up Sent
1029,BEXLEY35,Ecoteam Austin,,,,,,,,,,Offer AIR Upgrade,bexley3five@weinsteinproperties.com,Sent,Follow-Up Sent
1030,DOUGLAS LANDING,Ecoteam Austin,,,,,,,,,,Offer FPCO,douglaslanding@sandalwoodmgt.com,Sent,Follow-Up Sent
1034,PARK AT CRESTVIEW,Ecoteam Austin,,,,,,,,,,Offer FPCO,manager@parkatcrestview.com,Sent,
1058,BOULEVARD AT SONTERRA,Ecoteam San Antonio,,,,,,,,,,Offer AIR Upgrade,aborjon@kairoi.com,Sent,
1061,VIVA MAX,Ecoteam San Antonio,,,,,,,,,,Offer AIR Upgrade,vivamax@anterra.com,Sent,
1064,HELIX,Ecoteam San Antonio,,,,,,,,,,Offer FPCO,helix@djetexas.com,Sent,
1065,AZURE CITY LIVING,Ecoteam San Antonio,,,,,,,,,,Offer AIR Upgrade,azurecityliving@greystar.com,Sent,
1066,AVOCET,Ecoteam San Antonio,,,,,,,,,,Offer AIR Upgrade,info@liveavocet.com,Sent,
1068,CELESTE AT LA CANTERA,Ecoteam San Antonio,,,,,,,,,,Offer FPCO,celesteatlacantera@churchillforge.com,Sent,
1073,PARKER BROADWAY,Ecoteam San Antonio,,,,,,,,,,Offer FPCO,CHELMS@ICONURBAN.COM,Sent,
1090,REMINGTON HOUSE,Ecoteam Austin,,,,,,,,,,Offer AIR Upgrade,remington@churchillforge.com,Sent,
1098,BERKSHIRE LAKEWAY,Ecoteam Austin,,,,,,,,,,Offer AIR Upgrade,lakeway@berkshireresi.com,Sent,
1099,LANGTRY,Ecoteam Austin,,,,,,,,,,Offer AIR Upgrade,becca@vancejelliottrealty.com,Sent,
1100,LODGE AT MERRILTOWN,Ecoteam Austin,,,,,,,,,,Offer AIR Upgrade,iquintanilla@aogliving.com,Sent,
1102,ION AUSTIN,Ecoteam Austin,,,,,,,,,,Offer FPCO,live@ion-austin.com,Sent,
